id,basicwgt,statecensus,age,sex,race_ethnicity,educ,laborforce,industry,Occupation,educ_code
3.51E+14,3446.7471,AZ,43,Female,Hispanic,High school,Employed-at work,Professional and business services,"Managers, All Other",2
3.51E+14,,AZ,7,Female,Hispanic,,,,-1,NA
3.51E+14,,AZ,10,Female,Hispanic,,,,-1,NA
3.51E+14,3764.4519,AZ,21,Male,Hispanic,High school,Unemployed-looking,Wholesale and retail trade,Stockers and Order Fillers,2
4.10E+14,3689.4497,AZ,40,Female,White,College,Not in labor force-other,,-1,4
4.10E+14,3384.0049,AZ,45,Male,White,Advanced,Employed-at work,Manufacturing,Electrical and Electronics Engineers,5
4.10E+14,,AZ,9,Male,White,,,,-1,NA
4.10E+14,,AZ,10,Male,Black,,,,-1,NA
4.10E+14,,AZ,12,Female,White,,,,-1,NA
4.10E+14,,AZ,15,Male,White,Less than high school,Not in labor force-other,,-1,1
4.10E+14,4459.6743,AZ,16,Male,White,Less than high school,Not in labor force-other,,-1,1
4.10E+14,3539.0227,AZ,79,Male,Hispanic,Less than high school,Not in labor force-retired,,-1,1
4.10E+14,3202.3818,AZ,61,Male,White,Less than high school,Not in labor force-retired,,-1,1
4.10E+14,2933.6367,AZ,63,Female,White,Some college,Not in labor force-retired,,-1,3
4.10E+14,2712.5081,AZ,57,Male,White,Some college,Not in labor force-retired,,-1,3
4.10E+14,2757.5627,AZ,57,Female,White,Some college,Not in labor force-retired,,-1,3
4.15E+14,3116.689,AZ,72,Female,White,Some college,Employed-at work,Educational and health services,Education and Childcare Administrators ,3
4.15E+14,2853.9727,AZ,75,Male,White,Some college,Employed-absent,Manufacturing,Industrial and Refractory Machinery Mechanics,3
4.15E+14,4013.6277,AZ,40,Male,White,High school,Not in labor force-disabled,,-1,2
4.15E+14,3523.3879,AZ,51,Male,White,Some college,Not in labor force-other,,-1,3
4.15E+14,4402.3633,AZ,27,Female,Hispanic,Some college,Employed-at work,Wholesale and retail trade,Customer Service Representatives,3
4.21E+14,4295.3647,AZ,42,Male,White,College,Employed-at work,"Agriculture, forestry, fishing, and hunting",Conservation Scientists and Foresters,4
4.21E+14,4078.5078,AZ,43,Female,White,College,Employed-at work,Public administration,Firefighters,4
4.21E+14,2593.9082,AZ,76,Female,White,Less than high school,Not in labor force-retired,,-1,1
4.30E+14,5055.6465,AZ,27,Male,White,Some college,Employed-at work,Transportation and utilities,Taxi Drivers,3
4.30E+14,4465.1812,AZ,39,Female,White,High school,Employed-absent,Educational and health services,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2
4.30E+14,4637.3716,AZ,16,Male,White,Less than high school,Employed-at work,Leisure and hospitality,Dishwashers,1
4.30E+14,4674.4399,AZ,52,Male,Hispanic,College,Employed-at work,Transportation and utilities,"Meter Readers, Utilities",4
4.34E+14,2678.3257,AZ,76,Male,White,High school,Not in labor force-other,,-1,2
4.34E+14,3069.0222,AZ,76,Female,White,Advanced,Employed-at work,"Agriculture, forestry, fishing, and hunting",Miscellaneous Agricultural Workers,5
4.36E+14,2929.5198,AZ,45,Female,Hispanic,Some college,Not in labor force-other,,-1,3
4.36E+14,3433.0132,AZ,51,Male,Hispanic,Some college,Employed-at work,Public administration,Janitors and Building Cleaners,3
4.36E+14,3859.2166,AZ,17,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.36E+14,4368.0488,AZ,20,Female,Hispanic,Some college,Not in labor force-other,,-1,3
4.36E+14,4037.4685,AZ,22,Male,Hispanic,Some college,Not in labor force-other,,-1,3
4.42E+14,7242.7798,AZ,22,Female,Other,High school,Employed-at work,Public administration,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2
4.44E+14,3832.3479,AZ,60,Male,Hispanic,Some college,Not in labor force-other,,-1,3
4.44E+14,3638.9282,AZ,36,Male,White,High school,Employed-at work,"Agriculture, forestry, fishing, and hunting","Farmers, Ranchers, and Other Agricultural Managers",2
4.44E+14,3672.2129,AZ,34,Female,White,Some college,Employed-at work,Educational and health services,Registered Nurses,3
4.44E+14,,AZ,11,Male,White,,,,-1,NA
4.44E+14,,AZ,13,Female,White,,,,-1,NA
4.44E+14,,AZ,15,Male,White,Less than high school,Not in labor force-other,,-1,1
4.49E+14,3457.3687,AZ,67,Female,White,College,Not in labor force-retired,,-1,4
4.49E+14,3427.7581,AZ,75,Male,White,College,Not in labor force-retired,,-1,4
4.49E+14,2784.1836,AZ,80,Male,White,College,Not in labor force-retired,,-1,4
4.49E+14,2736.4724,AZ,80,Female,White,College,Not in labor force-retired,,-1,4
4.56E+14,4432.251,AZ,58,Male,Hispanic,Less than high school,Employed-at work,"Agriculture, forestry, fishing, and hunting",Heavy Vehicle and Mobile Equipment Service Technicians and Mechanics,1
4.56E+14,4306.0112,AZ,58,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.60E+14,4553.752,AZ,19,Female,White,High school,Not in labor force-other,,-1,2
4.60E+14,,AZ,20,Male,Hispanic,High school,,,-1,2
4.66E+14,2351.5774,AZ,76,Male,White,College,Employed-at work,Leisure and hospitality,Other Entertainment Attendants and Related Workers,4
4.66E+14,2297.5479,AZ,72,Female,White,Some college,Not in labor force-retired,,-1,3
4.66E+14,3328.519,AZ,64,Male,White,Advanced,Not in labor force-retired,,-1,5
4.66E+14,3511.79,AZ,64,Female,White,College,Not in labor force-retired,,-1,4
4.80E+14,3005.5332,AZ,56,Male,Hispanic,Less than high school,Employed-at work,Other services,Automotive Service Technicians and Mechanics,1
4.80E+14,3023.9299,AZ,56,Female,Hispanic,Less than high school,Employed-at work,Educational and health services,Janitors and Building Cleaners,1
4.91E+14,3901.9219,AZ,61,Female,White,High school,Not in labor force-other,,-1,2
5.05E+14,3229.5723,AZ,64,Female,Hispanic,Some college,Not in labor force-other,,-1,3
5.05E+14,3047.7324,AZ,71,Male,Hispanic,Some college,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,3
5.10E+14,3337.98,AZ,68,Male,White,College,Not in labor force-retired,,-1,4
5.10E+14,3244.4749,AZ,46,Female,White,Some college,Employed-at work,Professional and business services,Paralegals and Legal Assistants,3
5.10E+14,4842.9497,AZ,25,Male,White,Some college,Not in labor force-other,,-1,3
5.10E+14,4277.6846,AZ,36,Male,White,Some college,Employed-at work,Manufacturing,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3
5.12E+14,4717.2275,AZ,23,Female,White,Some college,Not in labor force-other,,-1,3
5.12E+14,,AZ,22,Male,White,Some college,,,-1,3
5.15E+14,4527.4526,AZ,69,Male,Hispanic,Some college,Employed-at work,"Agriculture, forestry, fishing, and hunting",Miscellaneous Agricultural Workers,3
5.15E+14,4397.5698,AZ,63,Female,Hispanic,Less than high school,Employed-at work,"Agriculture, forestry, fishing, and hunting",Miscellaneous Agricultural Workers,1
5.15E+14,,AZ,13,Female,Hispanic,,,,-1,NA
5.15E+14,4068.4993,AZ,16,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
5.15E+14,4068.4993,AZ,19,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
5.31E+14,3142.0132,AZ,62,Male,White,High school,Not in labor force-retired,,-1,2
5.31E+14,3137.8418,AZ,53,Female,White,College,Not in labor force-retired,,-1,4
5.41E+14,3427.7581,AZ,76,Male,White,Less than high school,Not in labor force-retired,,-1,1
5.41E+14,3044.7192,AZ,74,Female,Hispanic,Some college,Not in labor force-disabled,,-1,3
5.41E+14,3125.9521,AZ,77,Male,Hispanic,Less than high school,Not in labor force-retired,,-1,1
6.01E+14,2684.8171,AZ,80,Male,White,Less than high school,Not in labor force-retired,,-1,1
6.01E+14,2638.8088,AZ,78,Female,White,High school,Not in labor force-retired,,-1,2
6.01E+14,3218.8486,AZ,66,Male,White,Some college,Not in labor force-retired,,-1,3
6.01E+14,3274.8416,AZ,63,Female,White,High school,Not in labor force-retired,,-1,2
6.10E+14,4444.6133,AZ,57,Male,White,High school,Employed-absent,Manufacturing,Computer Numerically Controlled Tool Operators and Programmers,2
6.10E+14,4219.7437,AZ,41,Female,White,College,Not in labor force-other,,-1,4
6.14E+14,3617.7041,AZ,78,Male,White,College,Not in labor force-retired,,-1,4
6.55E+14,6789.9624,AZ,21,Female,Black,Some college,Not in labor force-other,,-1,3
6.55E+14,5903.1045,AZ,51,Female,Black,Advanced,Employed-at work,Educational and health services,Other Physicians,5
6.55E+14,7366.4688,AZ,53,Male,Black,Advanced,Employed-at work,Educational and health services,Other Physicians,5
6.55E+14,9308.417,AZ,16,Male,Black,Less than high school,Not in labor force-other,,-1,1
6.55E+14,6789.9624,AZ,20,Female,Black,Some college,Not in labor force-other,,-1,3
6.84E+14,2288.2451,AZ,78,Female,White,College,Not in labor force-retired,,-1,4
6.84E+14,3351.2065,AZ,65,Male,White,Advanced,Not in labor force-retired,,-1,5
6.84E+14,3511.79,AZ,64,Female,White,Some college,Not in labor force-retired,,-1,3
6.84E+14,3287.0139,AZ,80,Female,White,High school,Not in labor force-retired,,-1,2
7.04E+14,2872.2388,AZ,72,Female,White,College,Not in labor force-retired,,-1,4
8.00E+14,5660.3208,AZ,27,Male,Hispanic,Some college,Employed-at work,Leisure and hospitality,Waiters and Waitresses,3
8.00E+14,5161.0806,AZ,24,Female,White,Some college,Employed-at work,Leisure and hospitality,Fast Food and Counter Workers,3
8.02E+14,4160.2974,AZ,35,Female,White,College,Not in labor force-other,Professional and business services,"Computer Occupations, All Other",4
8.02E+14,4196.4194,AZ,35,Male,White,Some college,Employed-at work,Construction,Electricians,3
8.02E+14,,AZ,4,Male,White,,,,-1,NA
8.02E+14,,AZ,6,Female,White,,,,-1,NA
8.04E+14,3465.5164,AZ,52,Male,White,Advanced,Employed-at work,Educational and health services,Registered Nurses,5
8.04E+14,3865.356,AZ,42,Female,White,College,Employed-at work,Educational and health services,Registered Nurses,4
8.04E+14,,AZ,11,Female,White,,,,-1,NA
8.04E+14,,AZ,13,Female,White,,,,-1,NA
8.04E+14,4553.752,AZ,16,Female,White,Less than high school,Not in labor force-other,,-1,1
8.09E+14,2687.2527,AZ,69,Male,Hispanic,Some college,Not in labor force-retired,,-1,3
8.09E+14,2927.8042,AZ,61,Female,Hispanic,Some college,Not in labor force-other,,-1,3
8.10E+14,2593.9082,AZ,75,Female,White,College,Not in labor force-retired,,-1,4
8.10E+14,2900.1252,AZ,71,Male,White,College,Not in labor force-retired,,-1,4
8.41E+14,4097.9839,AZ,61,Female,Other,Some college,Not in labor force-retired,,-1,3
8.62E+14,2558.3777,AZ,74,Male,White,Some college,Not in labor force-retired,,-1,3
8.62E+14,2578.656,AZ,52,Female,Hispanic,Advanced,Employed-at work,Manufacturing,Financial Managers,5
8.64E+14,3809.103,AZ,45,Male,White,College,Not in labor force-other,,-1,4
8.75E+14,3014.3882,AZ,80,Male,Hispanic,Advanced,Not in labor force-retired,,-1,5
9.10E+14,2812.1416,AZ,68,Female,Hispanic,Less than high school,Not in labor force-retired,,-1,1
9.10E+14,2641.5281,AZ,66,Male,Hispanic,College,Not in labor force-retired,,-1,4
9.14E+14,4053.6409,AZ,25,Female,Hispanic,Some college,Not in labor force-other,,-1,3
9.14E+14,4974.7808,AZ,28,Male,Hispanic,College,Employed-at work,Construction,"Shipping, Receiving, and Inventory Clerks",4
9.14E+14,,AZ,5,Male,Hispanic,,,,-1,NA
9.14E+14,,AZ,5,Male,Hispanic,,,,-1,NA
9.40E+14,3589.6892,AZ,51,Female,Hispanic,High school,Employed-at work,Educational and health services,Personal Care Aides,2
9.40E+14,3492.1829,AZ,52,Male,Hispanic,High school,Not in labor force-other,,-1,2
9.40E+14,3489.5139,AZ,29,Female,Hispanic,Some college,Unemployed-on layoff,Educational and health services,Nursing Assistants,3
9.40E+14,,AZ,13,Male,Hispanic,,,,-1,NA
9.40E+14,,AZ,9,Female,Hispanic,,,,-1,NA
9.40E+14,2697.2236,AZ,80,Male,Hispanic,Advanced,Not in labor force-retired,,-1,5
9.40E+14,2909.2871,AZ,71,Female,Hispanic,Some college,Not in labor force-retired,,-1,3
9.40E+14,3887.5581,AZ,36,Male,Hispanic,High school,Unemployed-looking,Wholesale and retail trade,Customer Service Representatives,2
9.52E+14,3783.198,AZ,45,Male,Hispanic,High school,Not in labor force-disabled,,-1,2
9.52E+14,3934.5454,AZ,46,Female,Hispanic,High school,Employed-at work,Educational and health services,"Bookkeeping, Accounting, and Auditing Clerks",2
9.52E+14,,AZ,9,Female,Hispanic,,,,-1,NA
9.52E+14,,AZ,15,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
9.52E+14,2976.6284,AZ,46,Male,White,High school,Not in labor force-disabled,,-1,2
9.95E+14,3378.7144,AZ,74,Male,White,Advanced,Employed-at work,Other services,Clergy,5
9.95E+14,3438.9399,AZ,77,Female,White,College,Not in labor force-disabled,,-1,4
4.10E+11,3516.1082,AZ,72,Male,Hispanic,Some college,Not in labor force-retired,,-1,3
4.10E+11,3342.2734,AZ,58,Female,White,Some college,Employed-absent,Educational and health services,Billing and Posting Clerks,3
4.11E+11,3896.0691,AZ,40,Male,White,Advanced,Employed-at work,Educational and health services,Postsecondary Teachers,5
4.11E+11,5232.2378,AZ,24,Female,Black,Some college,Employed-at work,Educational and health services,Exercise Trainers and Group Fitness Instructors,3
4.11E+11,3907.4478,AZ,30,Female,White,College,Employed-at work,Financial activities,First-Line Supervisors of Office and Administrative Support Workers,4
4.11E+11,4273.791,AZ,30,Male,White,College,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,4
4.11E+11,3421.7864,AZ,62,Female,White,Some college,Not in labor force-retired,,-1,3
4.12E+11,4667.0889,AZ,47,Male,White,College,Unemployed-looking,Wholesale and retail trade,"Wholesale and Retail Buyers, Except Farm Products",4
4.12E+11,5101.8091,AZ,23,Female,White,College,Not in labor force-other,Educational and health services,Postsecondary Teachers,4
4.12E+11,3519.7612,AZ,51,Female,White,College,Not in labor force-other,,-1,4
4.12E+11,3708.5874,AZ,52,Male,White,College,Employed-at work,Professional and business services,"Physical Scientists, All Other",4
4.12E+11,4591.915,AZ,17,Female,White,Less than high school,Employed-at work,Wholesale and retail trade,Retail Salespersons,1
4.13E+11,3612.0747,AZ,50,Female,White,College,Employed-at work,Professional and business services,Human Resources Workers,4
4.13E+11,3627.1887,AZ,34,Female,White,Some college,Employed-at work,Educational and health services,Medical Assistants,3
4.13E+11,,AZ,5,Female,White,,,,-1,NA
4.13E+11,,AZ,7,Male,White,,,,-1,NA
4.13E+11,,AZ,10,Female,White,,,,-1,NA
4.13E+11,,AZ,13,Male,White,,,,-1,NA
4.13E+11,4104.0366,AZ,68,Female,White,College,Not in labor force-retired,,-1,4
4.13E+11,3937.2678,AZ,70,Male,White,College,Not in labor force-retired,,-1,4
4.13E+11,3025.2583,AZ,80,Female,White,Advanced,Not in labor force-retired,,-1,5
4.13E+11,3025.2583,AZ,79,Female,White,College,Not in labor force-retired,,-1,4
4.14E+11,3373.9534,AZ,38,Male,White,College,Employed-at work,Leisure and hospitality,Chefs and Head Cooks,4
4.15E+11,3399.4353,AZ,66,Female,White,College,Employed-at work,Professional and business services,Accountants and Auditors,4
4.15E+11,4527.3804,AZ,49,Male,Hispanic,College,Employed-at work,Construction,Carpenters,4
4.15E+11,4230.7373,AZ,52,Female,Hispanic,Less than high school,Employed-at work,Construction,Construction Laborers,1
4.15E+11,,AZ,13,Female,Hispanic,,,,-1,NA
4.15E+11,,AZ,14,Female,Hispanic,,,,-1,NA
4.15E+11,,AZ,15,Male,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.15E+11,4427.7803,AZ,18,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.15E+11,4689.1104,AZ,19,Male,Hispanic,Less than high school,Employed-at work,Leisure and hospitality,Cashiers,1
4.15E+11,4230.3833,AZ,57,Male,Hispanic,Some college,Not in labor force-other,,-1,3
4.15E+11,4540.4673,AZ,31,Male,White,Advanced,Employed-at work,Financial activities,Credit Counselors and Loan Officers,5
4.15E+11,4845.104,AZ,26,Female,White,College,Employed-at work,Public administration,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4
4.15E+11,3557.9231,AZ,42,Male,Hispanic,Some college,Employed-at work,Professional and business services,Other Designers,3
4.15E+11,3594.0923,AZ,35,Female,White,Advanced,Employed-at work,Educational and health services,Physical Therapists,5
4.15E+11,,AZ,2,Male,Hispanic,,,,-1,NA
4.15E+11,,AZ,14,Male,Hispanic,,,,-1,NA
4.15E+11,,AZ,15,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.15E+11,4677.2593,AZ,60,Female,White,High school,Not in labor force-disabled,,-1,2
4.15E+11,4163.2065,AZ,40,Female,White,College,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,4
4.15E+11,3903.8091,AZ,42,Male,White,High school,Employed-at work,Wholesale and retail trade,First-Line Supervisors of Retail Sales Workers,2
4.15E+11,,AZ,8,Female,White,,,,-1,NA
4.15E+11,,AZ,10,Female,White,,,,-1,NA
4.15E+11,3580.688,AZ,53,Female,White,Some college,Not in labor force-other,,-1,3
4.15E+11,4260.8872,AZ,64,Male,Black,College,Employed-at work,Educational and health services,Tutors,4
4.15E+11,3400.1282,AZ,59,Female,White,Advanced,Employed-at work,Financial activities,Real Estate Brokers and Sales Agents,5
4.15E+11,3602.509,AZ,60,Male,White,Advanced,Employed-at work,Financial activities,Accountants and Auditors,5
4.15E+11,4364.083,AZ,47,Male,Hispanic,Less than high school,Employed-at work,Construction,Construction Laborers,1
4.15E+11,3873.3135,AZ,43,Female,Hispanic,College,Not in labor force-other,,-1,4
4.15E+11,4020.1614,AZ,17,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
4.16E+11,3358.6943,AZ,49,Male,White,High school,Employed-at work,Leisure and hospitality,Other Entertainment Attendants and Related Workers,2
4.16E+11,4548.2559,AZ,64,Female,Black,High school,Not in labor force-retired,,-1,2
4.16E+11,3575.896,AZ,68,Male,White,Advanced,Not in labor force-retired,,-1,5
4.16E+11,4073.197,AZ,70,Female,White,Advanced,Not in labor force-retired,,-1,5
4.16E+11,3205.0532,AZ,70,Male,White,Some college,Employed-at work,Financial activities,Personal Financial Advisors,3
4.16E+11,3509.4629,AZ,46,Female,White,Some college,Not in labor force-retired,,-1,3
7.00E+11,3621.2813,AZ,59,Female,White,Advanced,Employed-at work,Educational and health services,School Psychologists,5
7.60E+11,4361.9575,AZ,69,Female,White,College,Employed-at work,Financial activities,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4
2.34E+12,3303.5767,AZ,63,Male,White,Some college,Employed-at work,Manufacturing,Machinists,3
2.34E+12,3140.1389,AZ,67,Female,White,Some college,Not in labor force-retired,,-1,3
2.71E+12,3658.1345,AZ,40,Male,White,Some college,Employed-at work,Financial activities,Loan Interviewers and Clerks,3
3.02E+12,4196.5918,AZ,59,Male,Hispanic,High school,Employed-at work,Construction,Construction Laborers,2
3.02E+12,4433.752,AZ,60,Female,Hispanic,Less than high school,Not in labor force-other,,-1,1
3.02E+12,4339.5171,AZ,22,Male,Hispanic,Some college,Employed-at work,Leisure and hospitality,Waiters and Waitresses,3
3.02E+12,3690.1648,AZ,34,Female,Hispanic,Some college,Not in labor force-other,,-1,3
3.02E+12,4463.2095,AZ,31,Male,White,High school,Employed-at work,Construction,"Plumbers, Pipefitters, and Steamfitters",2
3.02E+12,4762.6626,AZ,28,Female,White,High school,Employed-at work,Transportation and utilities,"Managers, All Other",2
3.02E+12,,AZ,0,Female,White,,,,-1,NA
3.02E+12,,AZ,7,Male,White,,,,-1,NA
3.04E+12,3358.6943,AZ,47,Male,White,College,Employed-at work,Professional and business services,"Business Operations Specialists, All Other",4
3.04E+12,3882.8713,AZ,46,Female,White,Advanced,Employed-at work,Educational and health services,Personal Care Aides,5
3.04E+12,,AZ,6,Male,White,,,,-1,NA
3.04E+12,,AZ,9,Female,White,,,,-1,NA
3.04E+12,,AZ,15,Male,White,Less than high school,Not in labor force-other,,-1,1
3.04E+12,3659.2427,AZ,16,Male,White,Less than high school,Not in labor force-other,,-1,1
3.04E+12,3659.2427,AZ,17,Male,White,Less than high school,Not in labor force-other,,-1,1
3.04E+12,3531.4163,AZ,56,Male,White,High school,Employed-at work,Construction,Solar Photovoltaic Installers,2
3.05E+12,3822.3691,AZ,41,Female,White,Some college,Not in labor force-other,,-1,3
3.05E+12,3532.1968,AZ,41,Male,White,Some college,Not in labor force-other,,-1,3
3.05E+12,,AZ,11,Male,White,,,,-1,NA
3.05E+12,,AZ,14,Female,White,,,,-1,NA
3.05E+12,4460.8403,AZ,18,Female,White,Less than high school,Not in labor force-other,,-1,1
6.71E+12,5974.0889,AZ,63,Male,Hispanic,College,Employed-at work,Wholesale and retail trade,Retail Salespersons,4
1.13E+13,3307.9053,AZ,71,Female,White,Some college,Not in labor force-retired,,-1,3
1.55E+13,3985.1187,AZ,70,Male,Asian,Advanced,Employed-at work,Other services,First-Line Supervisors of Non-Retail Sales Workers,5
1.55E+13,3349.1941,AZ,46,Female,Asian,College,Employed-at work,Other services,"Office Clerks, General",4
1.55E+13,,AZ,9,Female,Asian,,,,-1,NA
1.55E+13,,AZ,12,Male,Asian,,,,-1,NA
1.61E+13,4144.3188,AZ,54,Female,White,College,Employed-at work,Construction,Training and Development Managers,4
1.61E+13,4381.9307,AZ,53,Male,White,College,Employed-at work,Professional and business services,Accountants and Auditors,4
1.62E+13,,AZ,32,Male,Other,Some college,,,-1,3
1.62E+13,7225.3882,AZ,32,Female,Black,College,Employed-at work,Leisure and hospitality,"Agents and Business Managers of Artists, Performers, and Athletes",4
2.14E+13,3532.9373,AZ,38,Female,White,Advanced,Employed-at work,Educational and health services,Elementary and Middle School Teachers,5
2.14E+13,3693.9963,AZ,32,Female,White,Some college,Not in labor force-other,,-1,3
2.22E+13,3515.0508,AZ,68,Male,White,Some college,Not in labor force-retired,,-1,3
2.22E+13,4327.3672,AZ,65,Female,White,Some college,Not in labor force-retired,,-1,3
2.22E+13,4289.1089,AZ,57,Male,White,College,Employed-at work,Transportation and utilities,Computer Systems Analysts,4
2.22E+13,3744.551,AZ,55,Female,White,College,Employed-at work,Educational and health services,Billing and Posting Clerks,4
2.22E+13,4601.3193,AZ,21,Female,White,Some college,Not in labor force-other,,-1,3
2.27E+13,4762.6626,AZ,25,Female,White,High school,Employed-at work,Educational and health services,Medical and Health Services Managers,2
2.27E+13,5214.6782,AZ,24,Male,White,Some college,Unemployed-looking,Other services,Automotive Service Technicians and Mechanics,3
2.27E+13,,AZ,4,Female,Hispanic,,,,-1,NA
2.27E+13,,AZ,6,Male,Hispanic,,,,-1,NA
2.45E+13,4129.9932,AZ,57,Female,Hispanic,Some college,Employed-at work,Other services,Driver/Sales Workers and Truck Drivers,3
2.45E+13,4494.3154,AZ,28,Male,Hispanic,Some college,Not in labor force-other,,-1,3
2.49E+13,4474.6758,AZ,74,Female,Hispanic,Less than high school,Not in labor force-retired,,-1,1
2.62E+13,3612.0747,AZ,54,Female,White,College,Employed-at work,Professional and business services,"Personal Care and Service Workers, All Other",4
2.62E+13,3708.5874,AZ,54,Male,White,Advanced,Employed-at work,Manufacturing,Chief Executives,5
2.62E+13,4839.5059,AZ,19,Male,White,Some college,Employed-at work,Leisure and hospitality,Driver/Sales Workers and Truck Drivers,3
2.62E+13,3471.3279,AZ,57,Male,White,Some college,Employed-at work,Transportation and utilities,Couriers and Messengers,3
2.63E+13,3825.9146,AZ,61,Male,White,Some college,Not in labor force-retired,,-1,3
2.66E+13,3506.8616,AZ,49,Female,White,Some college,Employed-at work,Educational and health services,"Interviewers, Except Eligibility and Loan",3
2.66E+13,,AZ,15,Male,White,Less than high school,Employed-at work,Leisure and hospitality,Cooks,1
2.68E+13,4085.042,AZ,25,Male,Hispanic,College,Employed-at work,Transportation and utilities,Couriers and Messengers,4
2.68E+13,3907.0632,AZ,24,Female,White,College,Not in labor force-other,,-1,4
2.95E+13,5223.3887,AZ,25,Male,Hispanic,High school,Employed-at work,Transportation and utilities,Couriers and Messengers,2
2.95E+13,6136.8574,AZ,23,Female,Other,Some college,Employed-at work,Wholesale and retail trade,Cashiers,3
2.95E+13,,AZ,2,Female,Hispanic,,,,-1,NA
2.98E+13,3080.3408,AZ,68,Female,White,Some college,Employed-at work,Public administration,Registered Nurses,3
2.98E+13,3364.9915,AZ,60,Female,Hispanic,High school,Unemployed-looking,Wholesale and retail trade,Retail Salespersons,2
4.29E+13,5219.5068,AZ,35,Male,Hispanic,Some college,Employed-at work,Professional and business services,Paralegals and Legal Assistants,3
4.29E+13,3714.8174,AZ,56,Female,Hispanic,Some college,Employed-at work,Professional and business services,First-Line Supervisors of Office and Administrative Support Workers,3
4.29E+13,4349.9077,AZ,20,Male,Hispanic,High school,Unemployed-looking,Leisure and hospitality,Fast Food and Counter Workers,2
4.29E+13,4429.1187,AZ,29,Female,Hispanic,Some college,Employed-at work,Manufacturing,First-Line Supervisors of Office and Administrative Support Workers,3
4.29E+13,4487.3799,AZ,34,Male,Hispanic,High school,Employed-at work,Transportation and utilities,"Laborers and Freight, Stock, and Material Movers, Hand",2
4.29E+13,,AZ,4,Female,Hispanic,,,,-1,NA
4.41E+13,3644.0984,AZ,80,Female,White,High school,Not in labor force-retired,,-1,2
4.47E+13,4023.2917,AZ,79,Female,Black,Some college,Not in labor force-retired,,-1,3
4.66E+13,3628.8931,AZ,53,Female,White,Advanced,Not in labor force-retired,,-1,5
4.66E+13,3672.3108,AZ,53,Male,White,College,Employed-at work,Professional and business services,Chief Executives,4
4.69E+13,3077.6252,AZ,79,Female,White,Some college,Not in labor force-retired,,-1,3
4.69E+13,4137.3828,AZ,36,Female,Asian,Advanced,Employed-at work,Financial activities,Customer Service Representatives,5
4.78E+13,4602.2266,AZ,51,Female,White,Some college,Employed-at work,Financial activities,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3
4.78E+13,4431.4736,AZ,55,Male,White,Some college,Employed-at work,Manufacturing,"Inspectors, Testers, Sorters, Samplers, and Weighers",3
4.78E+13,,AZ,9,Female,White,,,,-1,NA
4.78E+13,4181.981,AZ,18,Male,White,Less than high school,Employed-at work,Manufacturing,Computer Programmers,1
4.78E+13,4768.0947,AZ,20,Male,White,Some college,Employed-at work,Leisure and hospitality,Cashiers,3
4.95E+13,3189.8545,AZ,66,Male,White,College,Employed-at work,Financial activities,Financial Managers,4
5.10E+13,3416.8333,AZ,48,Male,White,Some college,Employed-at work,Transportation and utilities,"Computer Occupations, All Other",3
5.10E+13,4388.7749,AZ,22,Male,White,Some college,Not in labor force-other,,-1,3
5.25E+13,3348.782,AZ,80,Female,White,High school,Not in labor force-retired,,-1,2
5.48E+13,5407.0034,AZ,62,Female,Hispanic,Some college,Not in labor force-disabled,,-1,3
5.48E+13,4644.6255,AZ,57,Male,Black,Less than high school,Not in labor force-disabled,,-1,1
5.48E+13,5767.7754,AZ,33,Female,Black,College,Not in labor force-disabled,,-1,4
5.60E+13,3707.5701,AZ,80,Male,White,Some college,Not in labor force-retired,,-1,3
5.91E+13,4666.9985,AZ,58,Female,White,Some college,Employed-at work,Professional and business services,"Interviewers, Except Eligibility and Loan",3
5.91E+13,4350.8325,AZ,54,Male,White,Some college,Not in labor force-retired,,-1,3
5.93E+13,5130.6948,AZ,37,Male,Hispanic,Some college,Employed-at work,Other services,Automotive Body and Related Repairers,3
6.40E+13,4217.0508,AZ,61,Male,White,Some college,Not in labor force-disabled,,-1,3
6.40E+13,3938.7986,AZ,59,Female,White,Less than high school,Not in labor force-disabled,,-1,1
6.70E+13,3644.4841,AZ,78,Male,White,College,Not in labor force-retired,,-1,4
6.70E+13,3903.5115,AZ,60,Male,White,High school,Employed-at work,Manufacturing,First-Line Supervisors of Production and Operating Workers,2
